lemma,c1,c2,statement,response,參考cwn def.
鼓勵,鼓,勵,鼓勵 是一種 勵,0,
產品,產,品,產品 是一種 品,1,
秦王,秦,王,秦王 是一種 王,1,
開會,開,會,開會 是一種 會,0,
困境,困,境,困境 是一種 境,1,
作家,作,家,作家 是一種 家,0,
工廠,工,廠,工廠 是一種 廠,0,
客戶,客,戶,客戶 是一種 戶,0,
研究,研,究,研究 是一種 究,0,
連戰,連,戰,連戰 是一種 戰,0,
李子,李,子,李子 是一種 子,0,
收入,收,入,收入 是一種 入,0,
財力,財,力,財力 是一種 力,0,
保守,保,守,保守 是一種 守,1,
目前,目,前,目前 是一種 前,0,
最後,最,後,最後 是一種 後,0,
組織,組,織,組織 是一種 織,0,
後來,後,來,後來 是一種 來,0,
小時,小,時,小時 是一種 時,0,
麥克,麥,克,麥克 是一種 克,0,
掩埋,掩,埋,掩埋 是一種 埋,1,
接近,接,近,接近 是一種 近,0,
皮膚,皮,膚,皮膚 是一種 膚,0,
年代,年,代,年代 是一種 代,0,
路線,路,線,路線 是一種 線,1,
欣慰,欣,慰,欣慰 是一種 慰,0,
阻擋,阻,擋,阻擋 是一種 擋,1,
船隻,船,隻,船隻 是一種 隻,0,
大大,大,大,大大 是一種 大,0,
糧食,糧,食,糧食 是一種 食,0,
攔截,攔,截,攔截 是一種 截,1,
惡化,惡,化,惡化 是一種 化,0,
泥土,泥,土,泥土 是一種 土,1,
挖掘,挖,掘,挖掘 是一種 掘,1,
秋季,秋,季,秋季 是一種 季,1,
穿越,穿,越,穿越 是一種 越,0,
參見,參,見,參見 是一種 見,1,
滲入,滲,入,滲入 是一種 入,1,
作出,作,出,作出 是一種 出,0,
溫和,溫,和,溫和 是一種 和,0,
遠大,遠,大,遠大 是一種 大,0,
樹木,樹,木,樹木 是一種 木,1,
暴雨,暴,雨,暴雨 是一種 雨,1,
效應,效,應,效應 是一種 應,0,
歡欣,歡,欣,歡欣 是一種 欣,0,
恐慌,恐,慌,恐慌 是一種 慌,1,
可喜,可,喜,可喜 是一種 喜,0,
驚恐,驚,恐,驚恐 是一種 恐,1,
糕點,糕,點,糕點 是一種 點,0,
摩擦,摩,擦,摩擦 是一種 擦,1,
羞愧,羞,愧,羞愧 是一種 愧,1,
客氣,客,氣,客氣 是一種 氣,0,
悲慘,悲,慘,悲慘 是一種 慘,1,
憂愁,憂,愁,憂愁 是一種 愁,1,
冷靜,冷,靜,冷靜 是一種 靜,0,
意欲,意,欲,意欲 是一種 欲,0,
開心,開,心,開心 是一種 心,0,
驚喜,驚,喜,驚喜 是一種 喜,1,
舒暢,舒,暢,舒暢 是一種 暢,0,
辛酸,辛,酸,辛酸 是一種 酸,0,
快意,快,意,快意 是一種 意,0,
煩心,煩,心,煩心 是一種 心,0,
苦悶,苦,悶,苦悶 是一種 悶,1,
煩憂,煩,憂,煩憂 是一種 憂,0,
哀怨,哀,怨,哀怨 是一種 怨,1,
酸楚,酸,楚,酸楚 是一種 楚,0,
震怒,震,怒,震怒 是一種 怒,1,
期求,期,求,期求 是一種 求,0,
