lemma,c1,c2,statement,response,參考cwn sense def.,
本金,本,金,本金 是一種 金,1,,
核心,核,心,核心 是一種 心,1,,
怨恨,怨,恨,怨恨 是一種 恨,1,,
觸怒,觸,怒,觸怒 是一種 怒,1,,
畏懼,畏,懼,畏懼 是一種 懼,1,,
爽快,爽,快,爽快 是一種 快,1,,
煩悶,煩,悶,煩悶 是一種 悶,1,,
憤慨,憤,慨,憤慨 是一種 慨,1,,
延伸,延,伸,延伸 是一種 伸,1,,
狂喜,狂,喜,狂喜 是一種 喜,1,,
冷酷,冷,酷,冷酷 是一種 酷,0,,
冷血,冷,血,冷血 是一種 血,0,,
悔恨,悔,恨,悔恨 是一種 恨,1,,
慌張,慌,張,慌張 是一種 張,0,,
操心,操,心,操心 是一種 心,0,,
冷門,冷,門,冷門 是一種 門,0,,
喜悅,喜,悅,喜悅 是一種 悅,1,,
暢快,暢,快,暢快 是一種 快,1,,
牽掛,牽,掛,牽掛 是一種 掛,1,,
愁悶,愁,悶,愁悶 是一種 悶,1,,
憂悶,憂,悶,憂悶 是一種 悶,1,,
悲涼,悲,涼,悲涼 是一種 涼,1,,
悲愁,悲,愁,悲愁 是一種 愁,1,,
嫌惡,嫌,惡,嫌惡 是一種 惡,1,,
暴怒,暴,怒,暴怒 是一種 怒,1,,
憂煩,憂,煩,憂煩 是一種 煩,1,,
